,Local authority,Highest level of qualification,Number of people
1,Hartlepool,No qualifications,17286
9,Middlesbrough,No qualifications,27282
17,Redcar and Cleveland,No qualifications,24732
25,Stockton-on-Tees,No qualifications,29441
33,Darlington,No qualifications,16972
41,Halton,No qualifications,21865
49,Warrington,No qualifications,28453
57,Blackburn with Darwen,No qualifications,28923
65,Blackpool,No qualifications,28575
73,Kingston upon Hull,No qualifications,54010
81,East Riding of Yorkshire,No qualifications,52477
89,North East Lincolnshire,No qualifications,30907
97,North Lincolnshire,No qualifications,30466
105,York,No qualifications,22953
113,Derby,No qualifications,42141
121,Leicester,No qualifications,77692
129,Rutland,No qualifications,4491
137,Nottingham,No qualifications,51554
145,Herefordshire,No qualifications,28315
153,Telford and Wrekin,No qualifications,29666
161,Stoke-on-Trent,No qualifications,53354
169,Bath and North East Somerset,No qualifications,19805
177,Bristol,No qualifications,56657
185,North Somerset,No qualifications,26615
193,South Gloucestershire,No qualifications,33792
201,Plymouth,No qualifications,37894
209,Torbay,No qualifications,23137
217,Swindon,No qualifications,32430
225,Peterborough,No qualifications,37471
233,Luton,No qualifications,39478
241,Southend-on-Sea,No qualifications,28823
249,Thurrock,No qualifications,29443
257,Medway,No qualifications,43158
265,Bracknell Forest,No qualifications,13183
273,West Berkshire,No qualifications,18484
281,Reading,No qualifications,22361
289,Slough,No qualifications,23966
297,Windsor and Maidenhead,No qualifications,15552
305,Wokingham,No qualifications,14671
313,Milton Keynes,No qualifications,35577
321,Brighton and Hove,No qualifications,29215
329,Portsmouth,No qualifications,29766
337,Southampton,No qualifications,35381
345,Isle of Wight,No qualifications,22064
353,County Durham,No qualifications,90804
361,Cheshire East,No qualifications,49524
369,Cheshire West and Chester,No qualifications,46771
377,Shropshire,No qualifications,45573
385,Cornwall,No qualifications,77919
393,Isles of Scilly,No qualifications,213
401,Wiltshire,No qualifications,60409
409,Bedford,No qualifications,24813
417,Central Bedfordshire,No qualifications,35598
425,Northumberland,No qualifications,48173
433,"Bournemouth, Christchurch and Poole",No qualifications,53317
441,Dorset,No qualifications,50834
449,Buckinghamshire,No qualifications,60981
457,North Northamptonshire,No qualifications,57682
465,West Northamptonshire,No qualifications,59804
473,Cambridge,No qualifications,11957
481,East Cambridgeshire,No qualifications,11824
489,Fenland,No qualifications,21889
497,Huntingdonshire,No qualifications,23194
505,South Cambridgeshire,No qualifications,15409
513,Allerdale,No qualifications,16609
521,Barrow-in-Furness,No qualifications,10307
529,Carlisle,No qualifications,18141
537,Copeland,No qualifications,11895
545,Eden,No qualifications,8086
553,South Lakeland,No qualifications,12393
561,Amber Valley,No qualifications,20668
569,Bolsover,No qualifications,16018
577,Chesterfield,No qualifications,17380
585,Derbyshire Dales,No qualifications,9583
593,Erewash,No qualifications,18530
601,High Peak,No qualifications,11307
609,North East Derbyshire,No qualifications,17066
617,South Derbyshire,No qualifications,13922
625,East Devon,No qualifications,19207
633,Exeter,No qualifications,15078
641,Mid Devon,No qualifications,11614
649,North Devon,No qualifications,14596
657,South Hams,No qualifications,9725
665,Teignbridge,No qualifications,17758
673,Torridge,No qualifications,10824
681,West Devon,No qualifications,7530
689,Eastbourne,No qualifications,15567
697,Hastings,No qualifications,15039
705,Lewes,No qualifications,13372
713,Rother,No qualifications,15007
721,Wealden,No qualifications,19965
729,Basildon,No qualifications,30827
737,Braintree,No qualifications,23238
745,Brentwood,No qualifications,9482
753,Castle Point,No qualifications,17753
761,Chelmsford,No qualifications,22401
769,Colchester,No qualifications,24043
777,Epping Forest,No qualifications,20734
785,Harlow,No qualifications,15364
793,Maldon,No qualifications,10674
801,Rochford,No qualifications,13556
809,Tendring,No qualifications,32782
817,Uttlesford,No qualifications,10117
825,Cheltenham,No qualifications,13181
833,Cotswold,No qualifications,10439
841,Forest of Dean,No qualifications,13427
849,Gloucester,No qualifications,19473
857,Stroud,No qualifications,13517
865,Tewkesbury,No qualifications,10717
873,Basingstoke and Deane,No qualifications,21302
881,East Hampshire,No qualifications,13605
889,Eastleigh,No qualifications,15155
897,Fareham,No qualifications,13246
905,Gosport,No qualifications,11695
913,Hart,No qualifications,8742
921,Havant,No qualifications,20492
929,New Forest,No qualifications,23951
937,Rushmoor,No qualifications,14803
945,Test Valley,No qualifications,15047
953,Winchester,No qualifications,11624
961,Broxbourne,No qualifications,16557
969,Dacorum,No qualifications,18167
977,Hertsmere,No qualifications,13778
985,North Hertfordshire,No qualifications,14652
993,Three Rivers,No qualifications,10022
1001,Watford,No qualifications,12841
1009,Ashford,No qualifications,18829
1017,Canterbury,No qualifications,21555
1025,Dartford,No qualifications,14717
1033,Dover,No qualifications,18706
1041,Gravesham,No qualifications,17186
1049,Maidstone,No qualifications,24786
1057,Sevenoaks,No qualifications,15087
1065,Folkestone and Hythe,No qualifications,17756
1073,Swale,No qualifications,26824
1081,Thanet,No qualifications,24990
1089,Tonbridge and Malling,No qualifications,16324
1097,Tunbridge Wells,No qualifications,12454
1105,Burnley,No qualifications,18347
1113,Chorley,No qualifications,15422
1121,Fylde,No qualifications,11117
1129,Hyndburn,No qualifications,14951
1137,Lancaster,No qualifications,18885
1145,Pendle,No qualifications,18639
1153,Preston,No qualifications,23079
1161,Ribble Valley,No qualifications,6802
1169,Rossendale,No qualifications,10672
1177,South Ribble,No qualifications,14356
1185,West Lancashire,No qualifications,17485
1193,Wyre,No qualifications,18693
1201,Blaby,No qualifications,14463
1209,Charnwood,No qualifications,24122
1217,Harborough,No qualifications,10937
1225,Hinckley and Bosworth,No qualifications,17207
1233,Melton,No qualifications,7034
1241,North West Leicestershire,No qualifications,15813
1249,Oadby and Wigston,No qualifications,8771
1257,Boston,No qualifications,15921
1265,East Lindsey,No qualifications,30632
1273,Lincoln,No qualifications,15135
1281,North Kesteven,No qualifications,15887
1289,South Holland,No qualifications,19399
1297,South Kesteven,No qualifications,19963
1305,West Lindsey,No qualifications,14326
1313,Breckland,No qualifications,26228
1321,Broadland,No qualifications,19415
1329,Great Yarmouth,No qualifications,21926
1337,King's Lynn and West Norfolk,No qualifications,30136
1345,North Norfolk,No qualifications,18332
1353,Norwich,No qualifications,20617
1361,South Norfolk,No qualifications,19996
1369,Craven,No qualifications,7032
1377,Hambleton,No qualifications,11686
1385,Harrogate,No qualifications,18605
1393,Richmondshire,No qualifications,6425
1401,Ryedale,No qualifications,8210
1409,Scarborough,No qualifications,18938
1417,Selby,No qualifications,12094
1425,Ashfield,No qualifications,24281
1433,Bassetlaw,No qualifications,21013
1441,Broxtowe,No qualifications,16079
1449,Gedling,No qualifications,17002
1457,Mansfield,No qualifications,21910
1465,Newark and Sherwood,No qualifications,19448
1473,Rushcliffe,No qualifications,11727
1481,Cherwell,No qualifications,20951
1489,Oxford,No qualifications,17204
1497,South Oxfordshire,No qualifications,15109
1505,Vale of White Horse,No qualifications,14092
1513,West Oxfordshire,No qualifications,13058
1521,Mendip,No qualifications,15504
1529,Sedgemoor,No qualifications,20290
1537,South Somerset,No qualifications,23749
1545,Cannock Chase,No qualifications,18134
1553,East Staffordshire,No qualifications,20231
1561,Lichfield,No qualifications,15110
1569,Newcastle-under-Lyme,No qualifications,20689
1577,South Staffordshire,No qualifications,18011
1585,Stafford,No qualifications,17910
1593,Staffordshire Moorlands,No qualifications,16223
1601,Tamworth,No qualifications,13899
1609,Babergh,No qualifications,13491
1617,Ipswich,No qualifications,24251
1625,Mid Suffolk,No qualifications,15185
1633,Elmbridge,No qualifications,11753
1641,Epsom and Ewell,No qualifications,8246
1649,Guildford,No qualifications,13540
1657,Mole Valley,No qualifications,8901
1665,Reigate and Banstead,No qualifications,15765
1673,Runnymede,No qualifications,10528
1681,Spelthorne,No qualifications,14012
1689,Surrey Heath,No qualifications,9643
1697,Tandridge,No qualifications,9787
1705,Waverley,No qualifications,11859
1713,Woking,No qualifications,10993
1721,North Warwickshire,No qualifications,11954
1729,Nuneaton and Bedworth,No qualifications,24568
1737,Rugby,No qualifications,14451
1745,Stratford-on-Avon,No qualifications,16230
1753,Warwick,No qualifications,15548
1761,Adur,No qualifications,10333
1769,Arun,No qualifications,27534
1777,Chichester,No qualifications,15536
1785,Crawley,No qualifications,16682
1793,Horsham,No qualifications,15075
1801,Mid Sussex,No qualifications,14457
1809,Worthing,No qualifications,14977
1817,Bromsgrove,No qualifications,12725
1825,Malvern Hills,No qualifications,9778
1833,Redditch,No qualifications,14605
1841,Worcester,No qualifications,14869
1849,Wychavon,No qualifications,19535
1857,Wyre Forest,No qualifications,18419
1865,St Albans,No qualifications,11783
1873,Welwyn Hatfield,No qualifications,13975
1881,East Hertfordshire,No qualifications,16756
1889,Stevenage,No qualifications,12113
1897,East Suffolk,No qualifications,40105
1905,West Suffolk,No qualifications,31016
1913,Somerset West and Taunton,No qualifications,21532
1921,Bolton,No qualifications,52451
1929,Bury,No qualifications,28706
1937,Manchester,No qualifications,86110
1945,Oldham,No qualifications,46208
1953,Rochdale,No qualifications,40649
1961,Salford,No qualifications,42829
1969,Stockport,No qualifications,37081
1977,Tameside,No qualifications,40437
1985,Trafford,No qualifications,25990
1993,Wigan,No qualifications,56571
2001,Knowsley,No qualifications,32600
2009,Liverpool,No qualifications,90049
2017,St. Helens,No qualifications,32245
2025,Sefton,No qualifications,45890
2033,Wirral,No qualifications,46894
2041,Barnsley,No qualifications,50329
2049,Doncaster,No qualifications,61805
2057,Rotherham,No qualifications,50529
2065,Sheffield,No qualifications,88425
2073,Newcastle upon Tyne,No qualifications,46232
2081,North Tyneside,No qualifications,29968
2089,South Tyneside,No qualifications,24849
2097,Sunderland,No qualifications,51666
2105,Birmingham,No qualifications,212198
2113,Coventry,No qualifications,53671
2121,Dudley,No qualifications,60569
2129,Sandwell,No qualifications,76839
2137,Solihull,No qualifications,30642
2145,Walsall,No qualifications,58781
2153,Wolverhampton,No qualifications,52803
2161,Bradford,No qualifications,101122
2169,Calderdale,No qualifications,31965
2177,Kirklees,No qualifications,71832
2185,Leeds,No qualifications,119597
2193,Wakefield,No qualifications,70233
2201,Gateshead,No qualifications,34975
2209,City of London,No qualifications,529
2217,Barking and Dagenham,No qualifications,36796
2225,Barnet,No qualifications,47762
2233,Bexley,No qualifications,35582
2241,Brent,No qualifications,59770
2249,Bromley,No qualifications,36581
2257,Camden,No qualifications,20948
2265,Croydon,No qualifications,49877
2273,Ealing,No qualifications,52925
2281,Enfield,No qualifications,57813
2289,Greenwich,No qualifications,38319
2297,Hackney,No qualifications,35043
2305,Hammersmith and Fulham,No qualifications,18332
2313,Haringey,No qualifications,39921
2321,Harrow,No qualifications,36454
2329,Havering,No qualifications,41947
2337,Hillingdon,No qualifications,43906
2345,Hounslow,No qualifications,42630
2353,Islington,No qualifications,25257
2361,Kensington and Chelsea,No qualifications,13971
2369,Kingston upon Thames,No qualifications,16128
2377,Lambeth,No qualifications,35185
2385,Lewisham,No qualifications,35447
2393,Merton,No qualifications,24609
2401,Newham,No qualifications,57151
2409,Redbridge,No qualifications,41948
2417,Richmond upon Thames,No qualifications,14163
2425,Southwark,No qualifications,35516
2433,Sutton,No qualifications,25122
2441,Tower Hamlets,No qualifications,40999
2449,Waltham Forest,No qualifications,40535
2457,Wandsworth,No qualifications,27202
2465,Westminster,No qualifications,22882
2473,Isle of Anglesey,No qualifications,10270
2481,Gwynedd,No qualifications,15937
2489,Conwy,No qualifications,17998
2497,Denbighshire,No qualifications,15668
2505,Flintshire,No qualifications,23373
2513,Wrexham,No qualifications,23095
2521,Ceredigion,No qualifications,9036
2529,Pembrokeshire,No qualifications,19283
2537,Carmarthenshire,No qualifications,31165
2545,Swansea,No qualifications,37304
2553,Neath Port Talbot,No qualifications,27722
2561,Bridgend,No qualifications,25993
2569,Vale of Glamorgan,No qualifications,16740
2577,Cardiff,No qualifications,48399
2585,Rhondda Cynon Taf,No qualifications,46915
2593,Caerphilly,No qualifications,34625
2601,Blaenau Gwent,No qualifications,15376
2609,Torfaen,No qualifications,16631
2617,Monmouthshire,No qualifications,12315
2625,Newport,No qualifications,27690
2633,Powys,No qualifications,21316
2641,Merthyr Tydfil,No qualifications,12831
